                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.59263,                0.35299,                 1.0892,                0.99652,                      1,                  0.995,                0.92983,                0.38743,                0.24236,                0.91429,               0.000284,               0.000284,               0.000284
                    107,                0.60317,                0.35163,                 1.0841,                 0.9965,                      1,                  0.995,                 0.9448,                0.36584,                0.23839,                0.90049,              0.0002675,              0.0002675,              0.0002675
                    108,                0.54607,                0.35106,                 1.0574,                0.99657,                      1,                  0.995,                0.94324,                0.37086,                0.23675,                0.90124,               0.000251,               0.000251,               0.000251
                    109,                0.59915,                0.35707,                 1.1041,                0.99655,                      1,                  0.995,                0.93833,                0.39022,                0.24126,                0.91066,              0.0002345,              0.0002345,              0.0002345
                    110,                0.56764,                0.36199,                 1.0861,                0.99657,                      1,                  0.995,                0.93943,                0.37748,                0.25329,                0.90503,               0.000218,               0.000218,               0.000218
                    111,                0.46388,                0.27168,                 1.0465,                0.99657,                      1,                  0.995,                0.94108,                0.35486,                0.26272,                0.88916,              0.0002015,              0.0002015,              0.0002015
                    112,                0.46773,                0.27215,                 1.0731,                0.99654,                      1,                  0.995,                0.93995,                0.34426,                0.26158,                0.87612,               0.000185,               0.000185,               0.000185
                    113,                0.45309,                0.26172,                   1.02,                 0.9965,                      1,                  0.995,                0.95372,                0.33052,                0.24298,                0.85744,              0.0001685,              0.0001685,              0.0001685
                    114,                0.46532,                 0.2628,                 1.0599,                0.99651,                      1,                  0.995,                0.94217,                0.32503,                0.23868,                0.84999,               0.000152,               0.000152,               0.000152
                    115,                0.45673,                0.25809,                 1.0376,                0.99653,                      1,                  0.995,                0.94619,                0.33335,                0.23583,                 0.8542,              0.0001355,              0.0001355,              0.0001355
                    116,                0.43557,                 0.2486,                 1.0117,                0.99656,                      1,                  0.995,                0.95321,                0.33765,                0.22607,                0.85177,               0.000119,               0.000119,               0.000119
                    117,                0.42492,                0.24739,                 1.0184,                0.99656,                      1,                  0.995,                 0.9667,                0.33418,                0.22202,                0.84874,              0.0001025,              0.0001025,              0.0001025
                    118,                0.43898,                0.24104,                 1.0209,                0.99656,                      1,                  0.995,                0.95344,                0.33377,                0.21293,                0.85031,                8.6e-05,                8.6e-05,                8.6e-05
                    119,                0.44313,                0.26732,                0.98999,                0.99659,                      1,                  0.995,                0.94699,                0.33059,                0.22963,                0.84854,               6.95e-05,               6.95e-05,               6.95e-05
                    120,                0.40859,                0.24004,                  1.001,                 0.9966,                      1,                  0.995,                0.95853,                0.31212,                 0.2286,                0.83973,                5.3e-05,                5.3e-05,                5.3e-05
